ID,mother_occupation,father_occupation,gender,Daytime_evening_attendance,Target,marital_status,Nacionality,Application_mode,Course,Previous_qualification,Mother_qualification,Father_qualification
140,10,10,0,1,Graduate,1,1,1,12,1,22,27
141,5,5,0,1,Graduate,1,1,1,15,1,13,1
143,10,11,0,1,Graduate,1,1,1,10,1,1,10
144,10,8,0,1,Graduate,1,1,1,12,1,13,14
145,6,7,0,1,Graduate,1,1,8,16,1,22,28
146,10,10,0,1,Dropout,1,1,1,11,1,10,14
147,10,11,0,1,Dropout,1,1,8,11,1,1,27
148,3,11,0,1,Graduate,1,1,1,9,1,3,14
149,10,10,0,1,Graduate,1,1,1,12,1,1,14
151,5,8,0,1,Graduate,1,1,1,6,1,1,28
153,10,10,0,1,Graduate,1,1,1,16,1,22,27
154,3,6,0,1,Dropout,1,1,14,16,1,3,27
155,7,7,0,1,Dropout,1,1,1,16,1,23,27
156,10,10,0,1,Graduate,1,1,1,9,1,23,28
157,8,10,0,1,Graduate,1,1,8,10,1,1,27
158,10,11,0,1,Graduate,1,1,1,10,1,13,1
159,7,9,0,0,Graduate,1,1,12,3,1,1,14
160,5,2,0,1,Dropout,1,1,1,14,1,13,1
161,10,8,0,1,Graduate,1,1,1,12,1,13,27
162,10,10,0,1,Graduate,1,1,1,12,1,13,14
163,5,5,0,1,Dropout,1,1,8,16,1,10,10
164,6,5,0,1,Graduate,1,1,8,14,1,1,14
165,8,8,0,1,Graduate,1,1,8,15,1,13,27
167,8,9,0,1,Graduate,1,1,8,10,1,13,14
168,2,2,0,1,Graduate,1,1,12,12,3,2,2
169,5,9,0,1,Dropout,1,1,14,10,1,13,14
171,4,11,0,1,Graduate,1,1,8,13,1,22,27
172,5,6,0,1,Graduate,1,1,8,12,1,2,28
173,5,7,0,0,Graduate,1,1,13,3,1,13,2
174,10,9,0,1,Dropout,1,1,8,11,1,22,27
176,10,6,0,1,Graduate,1,1,12,16,1,22,14
177,12,12,0,1,Dropout,1,1,1,12,1,19,24
178,10,6,0,1,Dropout,1,1,1,16,1,22,14
179,10,6,0,1,Dropout,1,1,4,12,3,1,1
180,4,4,0,1,Graduate,1,1,14,16,1,3,1
182,4,5,0,1,Dropout,1,1,12,15,12,13,14
183,6,6,0,1,Dropout,1,1,9,5,1,1,27
184,5,7,0,1,Dropout,1,1,8,11,1,1,14
185,6,8,0,1,Dropout,1,1,9,9,1,3,3
187,10,5,0,1,Graduate,1,1,8,12,1,23,1
188,10,10,0,1,Dropout,1,1,12,6,1,1,14
189,5,2,0,1,Graduate,1,1,8,5,1,1,3
190,10,9,0,1,Graduate,1,1,1,11,1,13,28
192,5,4,0,1,Dropout,1,1,12,9,1,10,3
193,5,11,0,1,Dropout,1,1,16,16,1,1,1
194,10,9,0,1,Graduate,1,1,1,12,1,23,28
195,4,5,0,0,Dropout,1,1,12,17,15,13,1
196,6,6,0,1,Graduate,1,1,9,12,1,22,27
197,3,3,0,1,Dropout,1,1,4,7,3,3,2
198,4,9,0,1,Graduate,1,1,1,16,1,13,14
200,5,8,0,1,Graduate,1,1,1,6,1,1,1
201,5,1,0,1,Graduate,1,1,1,10,1,13,14
202,8,8,0,1,Graduate,1,1,1,12,1,13,14
203,6,11,0,1,Graduate,1,1,15,10,14,23,28
204,10,9,0,1,Graduate,1,1,8,10,1,13,27
205,1,1,0,1,Graduate,1,1,1,10,1,19,24
206,10,10,0,1,Graduate,1,1,1,12,1,13,28
207,2,5,0,1,Graduate,1,1,1,15,1,3,14
208,9,8,0,1,Graduate,1,1,1,6,1,13,1
209,3,4,0,1,Dropout,1,1,12,11,12,3,14
210,8,5,0,1,Graduate,1,1,1,12,1,23,1
211,10,10,0,1,Graduate,1,1,1,12,1,22,27
212,10,3,0,1,Graduate,1,1,14,8,1,1,3
213,10,10,0,0,Dropout,1,1,12,17,1,22,27
214,5,6,0,1,Graduate,1,1,14,15,1,1,1
216,6,6,0,1,Graduate,1,1,9,9,1,13,3
217,9,8,0,0,Dropout,1,1,12,3,1,13,27
218,6,5,0,0,Dropout,1,1,12,3,1,1,14
219,2,4,0,1,Dropout,1,1,8,6,1,13,27
220,8,8,0,1,Graduate,1,1,1,9,1,23,28
221,6,8,0,1,Graduate,2,1,1,16,1,22,27
222,4,4,0,1,Dropout,1,1,1,11,1,1,1
223,6,10,0,1,Graduate,1,1,16,12,1,13,1
224,5,6,0,1,Graduate,1,1,9,12,1,1,28
225,4,4,0,0,Graduate,2,1,4,17,17,25,5
226,4,11,0,1,Graduate,2,1,4,9,3,1,4
227,10,10,0,1,Graduate,1,1,1,10,1,1,1
228,1,1,0,1,Dropout,1,1,12,14,1,19,24
229,6,9,0,1,Graduate,1,1,14,12,1,1,1
230,5,6,0,1,Graduate,1,1,1,11,1,1,27
231,5,7,0,1,Dropout,1,1,12,11,3,13,14
232,5,4,0,1,Graduate,1,1,1,14,1,1,3
233,10,10,0,1,Graduate,1,1,1,11,1,1,27
234,10,11,0,1,Dropout,1,1,1,9,1,22,1
235,10,10,0,1,Graduate,1,1,1,10,1,23,27
236,6,8,0,1,Graduate,1,1,1,16,1,13,14
237,4,10,0,1,Graduate,1,1,8,10,1,22,27
238,10,10,0,1,Dropout,1,1,1,8,1,13,1
239,10,8,0,1,Dropout,1,1,12,6,12,13,14
242,6,6,0,1,Graduate,1,1,1,9,1,22,14
243,10,2,0,1,Dropout,1,1,12,9,1,22,1
244,10,11,0,1,Graduate,1,1,1,9,1,23,14
245,6,4,0,1,Graduate,1,1,4,12,3,13,28
246,8,7,0,1,Graduate,1,1,8,12,1,13,27
247,10,11,0,1,Dropout,1,1,15,4,14,22,27
248,5,8,0,1,Graduate,1,1,1,11,1,13,27
249,10,9,0,1,Graduate,1,1,1,14,1,13,1
251,8,8,0,1,Dropout,1,1,1,15,1,23,27
252,12,7,0,1,Graduate,1,1,1,6,1,7,14
254,5,5,0,1,Graduate,1,1,8,9,1,1,1
255,8,8,0,1,Dropout,2,1,12,13,12,23,27
256,7,7,0,0,Graduate,1,1,8,17,15,22,27
258,10,9,0,1,Graduate,1,1,1,10,1,1,1
259,4,2,0,1,Dropout,1,1,14,10,1,1,1
260,10,8,0,1,Graduate,1,1,1,11,1,22,28
261,13,13,0,0,Dropout,1,1,12,3,1,22,27
262,10,10,0,1,Dropout,1,1,14,7,1,22,28
263,5,5,0,1,Graduate,1,1,1,10,1,1,1
264,10,6,0,1,Graduate,1,1,1,10,1,23,14
265,2,4,0,1,Graduate,1,1,1,15,1,3,1
266,3,4,0,1,Graduate,1,1,8,12,1,4,1
267,10,10,0,1,Graduate,1,1,1,15,1,23,28
268,10,10,0,1,Graduate,1,1,1,5,1,22,27
269,10,10,0,1,Graduate,1,1,1,12,1,1,1
270,5,9,0,1,Graduate,1,1,15,4,14,22,28
271,10,10,0,1,Dropout,1,1,1,9,1,1,14
272,5,9,0,1,Graduate,1,1,8,9,1,10,14
273,3,6,0,1,Graduate,1,1,1,12,1,5,1
274,5,6,0,1,Graduate,1,1,1,10,1,1,28
275,5,11,0,1,Graduate,1,1,8,12,1,10,1
276,4,4,0,1,Dropout,1,1,13,16,1,22,28
277,3,1,0,1,Dropout,2,1,4,8,3,5,4
279,6,6,0,1,Graduate,1,1,1,12,1,13,14
280,10,10,0,1,Graduate,1,1,7,9,1,23,27
281,5,11,0,0,Graduate,4,1,1,3,1,24,14
282,9,5,0,0,Graduate,2,1,16,17,1,22,27
283,8,6,0,1,Graduate,1,1,1,5,1,13,27
284,1,1,0,0,Graduate,1,1,1,3,1,23,28
285,5,5,0,1,Graduate,2,1,12,15,9,1,1
287,12,3,0,0,Graduate,1,1,12,3,11,19,1
288,4,5,0,0,Graduate,1,1,9,3,1,3,1
289,2,2,0,1,Graduate,1,1,12,12,1,3,3
290,5,11,0,1,Graduate,1,1,8,6,1,13,14
291,7,7,0,1,Graduate,1,1,15,4,14,13,27
293,29,29,0,1,Graduate,1,1,8,10,1,13,14
294,4,7,0,1,Dropout,1,1,1,5,1,23,27
295,3,5,0,1,Graduate,2,1,1,12,1,3,28
296,10,9,0,1,Graduate,1,1,8,15,1,13,28
297,4,4,0,1,Graduate,1,1,1,10,1,1,1
298,5,11,0,1,Graduate,1,1,8,13,1,1,1
299,6,8,0,1,Graduate,1,1,1,12,1,13,28
300,10,8,0,1,Graduate,1,1,8,14,1,23,28
301,10,10,0,1,Graduate,1,1,1,6,1,23,27
302,5,10,0,1,Graduate,1,1,1,12,1,13,14
303,6,6,0,1,Dropout,1,1,16,14,1,13,14
304,5,4,0,1,Dropout,1,1,8,10,1,1,9
306,6,6,0,1,Graduate,1,1,8,14,1,1,14
307,12,12,0,1,Dropout,1,1,12,8,3,3,1
308,12,12,0,1,Graduate,1,1,1,6,1,9,9
309,8,9,0,1,Dropout,1,1,15,8,14,22,27
310,3,2,0,1,Graduate,1,1,16,10,1,3,14
311,1,1,0,1,Dropout,1,1,8,16,1,19,24
312,5,9,0,1,Graduate,1,1,8,9,1,13,14
313,6,8,0,1,Graduate,1,1,8,16,1,23,28
314,5,5,0,1,Dropout,1,1,16,9,1,1,1
315,5,4,0,1,Graduate,1,1,1,9,1,1,28
316,4,7,0,1,Graduate,1,1,1,12,1,13,14
317,4,6,0,1,Graduate,1,1,1,12,1,26,14
318,6,10,0,1,Graduate,1,1,1,10,1,13,28
320,10,6,0,1,Dropout,1,1,4,6,15,13,14
321,8,10,0,1,Graduate,1,1,13,12,1,22,27
322,6,2,0,1,Graduate,1,1,1,12,1,1,1
323,10,10,0,1,Graduate,1,1,14,9,1,22,27
325,6,9,0,1,Graduate,1,1,1,11,1,13,14
326,10,10,0,1,Graduate,1,1,14,12,6,1,27
327,10,7,0,1,Graduate,1,1,1,10,1,1,1
331,5,8,0,1,Dropout,1,1,15,7,14,13,27
332,8,8,0,1,Graduate,1,1,1,10,1,23,28
333,10,11,0,0,Graduate,1,1,1,3,1,22,28
334,5,10,0,1,Graduate,1,1,1,10,1,19,27
335,8,8,0,1,Graduate,1,1,15,10,14,23,27
336,3,2,0,1,Graduate,1,1,4,16,15,26,3
337,8,8,0,1,Graduate,1,1,1,12,1,23,28
338,10,11,0,1,Graduate,1,1,8,10,1,3,1
339,4,6,0,1,Graduate,1,1,8,8,1,2,7
341,3,3,0,1,Dropout,1,1,1,2,1,3,3
342,10,10,0,0,Graduate,2,1,12,3,1,22,27
343,2,3,0,1,Graduate,1,1,12,4,3,3,3
345,8,6,0,1,Graduate,1,1,1,15,1,13,14
347,7,7,0,0,Graduate,4,1,12,17,1,22,27
348,10,10,0,1,Graduate,2,1,12,10,1,22,27
350,10,10,0,1,Dropout,1,1,1,11,1,13,14
351,10,9,0,1,Graduate,1,1,14,15,1,13,14
352,10,6,0,1,Dropout,1,1,1,2,1,1,1
353,10,8,0,1,Graduate,2,1,1,12,1,22,28
354,5,7,0,1,Dropout,1,1,1,11,1,13,14
355,5,6,0,1,Graduate,1,1,8,6,1,13,1
356,10,10,0,1,Graduate,1,1,12,12,12,23,27
357,12,9,0,0,Dropout,1,1,12,17,1,22,27
359,3,4,0,1,Dropout,1,1,12,6,17,3,29
360,5,2,0,1,Graduate,1,1,8,16,1,13,28
361,10,8,0,1,Dropout,1,1,1,15,1,22,28
363,10,9,0,1,Graduate,1,1,17,6,16,13,27
365,8,6,0,1,Graduate,1,1,1,6,1,22,28
366,5,9,0,1,Graduate,1,1,1,12,1,13,28
368,29,46,0,1,Graduate,1,1,1,16,1,23,27
369,10,6,0,1,Dropout,1,1,1,12,1,13,14
370,10,5,0,0,Graduate,2,1,14,3,1,22,29
372,5,8,0,1,Graduate,1,1,8,15,1,1,14
373,20,43,0,0,Graduate,4,1,12,17,1,1,27
374,5,8,0,1,Dropout,2,1,12,6,12,23,28
376,10,10,0,1,Dropout,1,1,9,9,1,22,27
377,5,5,0,1,Graduate,1,1,1,12,1,1,1
380,6,8,0,1,Dropout,4,1,12,12,12,23,14
383,6,6,0,1,Graduate,1,1,1,16,1,13,14
384,3,2,0,1,Graduate,1,1,17,9,16,3,4
385,1,1,0,1,Graduate,1,1,1,10,1,19,24
386,10,10,0,1,Graduate,1,1,1,16,1,22,27
387,10,10,0,0,Graduate,1,1,12,17,3,22,27
389,8,8,0,0,Graduate,1,1,15,3,14,22,27
392,8,8,0,1,Dropout,1,1,1,15,1,18,27
393,10,11,0,1,Dropout,1,1,8,6,1,1,1
394,5,4,0,1,Graduate,1,1,8,6,1,1,14
395,5,10,0,1,Graduate,1,1,1,12,1,1,1
396,4,11,0,1,Graduate,1,1,16,10,1,3,14
397,5,7,0,1,Graduate,1,1,15,6,14,23,27
398,6,9,0,1,Dropout,1,1,8,14,1,22,14
399,7,5,0,1,Dropout,1,1,8,9,1,23,27
404,6,6,0,1,Graduate,1,1,8,12,1,22,27
405,4,10,0,1,Graduate,1,1,1,2,1,1,14
406,4,10,0,1,Graduate,1,1,4,5,15,1,14
407,10,10,0,0,Graduate,1,1,12,17,15,1,14
408,5,5,0,1,Graduate,1,1,8,10,1,1,14
409,1,1,0,1,Dropout,4,1,12,6,1,19,24
410,8,8,0,1,Graduate,1,1,1,12,1,13,14
411,5,9,0,1,Graduate,1,1,12,12,3,13,1
412,5,11,0,1,Graduate,1,1,1,12,1,1,1
413,7,7,0,0,Graduate,1,1,4,17,15,22,27
414,10,8,0,1,Graduate,1,1,1,10,1,1,28
415,12,12,0,1,Graduate,1,1,1,6,1,22,27
416,10,10,0,1,Graduate,1,1,1,6,1,1,1
417,10,10,0,1,Dropout,1,1,1,16,1,13,14
418,10,10,0,1,Graduate,1,1,1,12,1,22,27
419,5,6,0,1,Dropout,1,1,1,12,1,1,14
420,3,9,0,1,Graduate,1,1,1,12,1,2,1
421,5,4,0,0,Graduate,1,1,13,17,1,1,2
422,5,7,0,1,Dropout,1,1,15,6,14,1,2
423,4,4,0,1,Graduate,1,1,1,12,1,3,1
424,6,4,0,1,Graduate,1,1,8,13,1,13,2
425,10,4,0,1,Graduate,1,1,1,12,1,22,27
426,4,8,0,1,Graduate,1,1,1,14,1,23,28
428,5,5,0,1,Dropout,3,1,1,6,1,13,1
429,5,11,0,1,Graduate,1,1,8,14,1,13,28
430,10,10,0,1,Graduate,1,1,1,12,1,22,28
431,8,9,0,0,Graduate,1,1,12,3,1,22,27
432,7,9,0,1,Graduate,1,1,8,9,1,23,28
433,12,4,0,1,Dropout,1,1,1,12,1,1,1
434,5,9,0,1,Graduate,1,1,1,15,1,1,14
435,6,6,0,1,Graduate,1,1,1,12,1,13,14
437,5,6,0,1,Graduate,1,1,1,14,1,13,27
438,3,5,0,1,Dropout,1,1,1,14,1,7,1
439,10,10,0,1,Graduate,2,1,12,12,12,22,27
442,10,4,0,1,Graduate,1,1,8,12,1,13,28
443,8,9,0,1,Graduate,1,1,1,12,1,13,14
444,2,2,0,1,Graduate,1,1,8,14,1,13,14
445,10,4,0,1,Graduate,1,1,1,10,1,22,14
446,3,2,0,1,Graduate,1,1,1,12,1,3,1
447,8,8,0,1,Dropout,1,1,1,12,1,1,14
448,10,8,0,1,Graduate,1,1,1,15,1,1,14
450,6,6,0,1,Graduate,1,1,9,12,1,23,27
451,10,9,0,1,Graduate,1,1,1,12,1,22,27
452,8,6,0,1,Graduate,1,1,1,12,1,13,14
453,5,8,0,1,Graduate,1,1,8,6,1,13,27
455,13,13,0,0,Graduate,2,1,12,3,1,19,24
456,6,7,0,1,Dropout,1,1,4,4,3,23,27
457,10,9,0,1,Dropout,1,1,14,16,1,22,14
458,5,10,0,1,Graduate,2,1,12,4,1,1,14
459,6,8,0,1,Graduate,1,1,8,15,1,22,27
460,4,3,0,1,Graduate,1,1,1,8,1,3,3
461,6,8,0,1,Graduate,1,1,16,5,1,13,14
462,3,4,0,1,Graduate,1,1,8,10,1,3,1
463,4,6,0,1,Graduate,1,1,12,9,12,3,1
465,3,4,0,0,Dropout,1,1,14,3,1,3,3
467,1,1,0,1,Graduate,1,1,14,10,1,19,24
468,5,9,0,1,Graduate,1,1,1,12,1,13,28
469,5,10,0,1,Graduate,1,1,8,10,1,22,27
470,10,10,0,1,Graduate,1,1,8,12,1,1,27
471,10,8,0,1,Graduate,1,1,1,11,1,13,28
472,8,11,0,1,Dropout,1,1,1,14,1,23,14
473,10,10,0,1,Graduate,1,1,1,12,1,13,14
474,1,1,0,1,Dropout,1,1,12,11,7,19,24
475,4,6,0,1,Graduate,1,1,1,14,1,1,14
476,10,10,0,1,Dropout,1,1,1,13,1,13,14
477,1,1,0,1,Dropout,1,1,4,12,3,19,24
478,4,4,0,1,Graduate,1,1,1,12,1,3,1
480,5,5,0,1,Graduate,1,1,1,12,1,1,1
481,2,2,0,1,Graduate,1,1,9,12,1,1,14
482,3,6,0,1,Dropout,1,1,1,12,1,3,1
484,10,6,0,1,Graduate,1,1,1,12,1,1,14
485,8,10,0,1,Graduate,1,1,8,16,1,1,27
486,5,4,0,1,Dropout,1,1,14,14,1,23,14
487,6,5,0,1,Dropout,1,1,12,14,1,1,14
488,10,8,0,1,Graduate,1,1,8,12,1,22,27
489,6,6,0,1,Graduate,1,1,1,12,1,23,28
490,4,9,0,1,Graduate,1,1,1,5,1,13,1
491,6,6,0,1,Graduate,1,1,1,14,1,22,27
492,4,3,0,1,Graduate,1,1,1,12,1,1,3
495,12,6,0,1,Dropout,1,1,4,8,3,13,27
496,10,10,0,1,Dropout,1,1,12,13,12,22,28
497,5,4,0,1,Graduate,1,1,8,11,1,1,14
498,10,8,0,1,Graduate,1,1,8,5,1,13,28
499,8,8,0,1,Graduate,1,1,8,12,1,23,28
501,10,10,0,1,Graduate,1,1,8,11,1,23,28
503,2,2,0,1,Dropout,1,1,4,6,3,3,3
504,8,8,0,1,Graduate,1,1,1,12,1,22,1
507,10,4,0,1,Graduate,1,1,1,15,1,13,1
508,3,3,0,1,Dropout,1,1,1,8,1,5,5
509,5,7,0,1,Dropout,1,1,1,9,1,1,14
511,13,13,0,0,Dropout,2,1,12,3,1,19,24
512,1,1,0,1,Graduate,1,1,12,14,1,19,24
513,10,3,0,0,Dropout,1,1,12,17,1,22,14
514,10,11,0,0,Dropout,2,1,9,3,1,22,27
515,10,11,0,1,Dropout,2,1,9,10,1,22,27
516,10,5,0,1,Graduate,2,1,12,4,1,22,14
517,10,5,0,1,Dropout,1,1,8,16,1,1,1
518,1,1,0,0,Dropout,4,1,12,3,12,19,24
519,10,10,0,1,Dropout,1,1,8,16,1,22,27
520,6,6,0,1,Graduate,1,1,1,12,1,22,1
521,3,10,0,1,Graduate,1,1,8,8,1,3,14
522,3,9,0,1,Graduate,1,12,6,10,1,3,27
523,10,10,0,1,Graduate,1,18,9,6,1,1,1
524,2,2,0,1,Dropout,1,18,1,13,1,5,3
525,10,4,1,1,Dropout,1,1,14,7,1,1,1
527,3,11,1,1,Graduate,1,1,12,2,1,3,1
528,10,10,1,1,Dropout,1,1,12,9,1,22,27
529,3,3,1,1,Dropout,1,1,1,8,1,3,3
531,10,9,1,1,Dropout,1,1,8,14,1,13,27
532,3,4,1,1,Graduate,1,1,1,12,1,4,2
533,5,8,1,1,Dropout,1,1,15,5,14,1,14
534,3,3,1,1,Graduate,1,1,15,2,14,4,4
535,5,5,1,0,Graduate,1,1,14,17,1,3,3
536,5,5,1,1,Dropout,1,1,12,7,1,3,3
537,5,5,1,1,Graduate,1,1,8,11,1,3,14
538,4,10,1,1,Graduate,1,1,15,4,14,13,28
539,10,10,1,1,Dropout,1,1,9,15,1,13,1
540,6,6,1,1,Graduate,1,1,12,12,1,13,14
542,5,11,1,1,Graduate,1,1,15,4,14,1,14
543,6,4,1,1,Graduate,1,1,1,12,1,1,1
549,10,8,1,1,Graduate,1,1,8,9,1,13,28
550,5,6,1,1,Dropout,1,1,1,7,1,10,14
551,8,10,1,1,Dropout,1,1,12,15,12,13,1
552,2,11,1,1,Dropout,1,1,14,5,1,10,10
553,4,3,1,1,Dropout,1,1,8,7,1,1,2
554,5,5,1,1,Dropout,1,1,8,9,1,1,1
555,3,3,1,1,Dropout,1,1,15,4,14,3,2
557,10,10,1,1,Graduate,1,1,1,2,1,22,27
559,10,11,1,1,Graduate,1,1,13,12,1,1,3
560,20,30,1,1,Graduate,1,1,17,4,16,3,28
562,5,11,1,0,Dropout,1,1,12,17,1,1,1
563,10,10,1,1,Graduate,1,1,1,8,1,13,28
564,10,10,1,1,Graduate,1,1,1,5,6,1,1
565,4,10,1,1,Graduate,1,1,12,14,1,13,14
566,3,5,1,1,Dropout,1,1,12,4,12,4,1
567,1,6,1,1,Dropout,1,1,8,7,1,19,26
568,9,9,1,1,Graduate,1,1,8,6,1,23,14
569,3,3,1,1,Graduate,1,1,12,4,1,3,4
570,10,10,1,0,Graduate,1,1,1,3,1,1,1
571,10,10,1,1,Dropout,1,1,1,9,1,23,27
572,6,11,1,1,Dropout,1,1,8,7,1,13,3
574,10,11,1,1,Graduate,1,1,14,2,1,13,10
575,5,5,1,1,Dropout,2,1,12,6,7,1,1
576,10,10,1,1,Graduate,1,1,1,12,1,3,1
578,6,6,0,1,Graduate,2,1,1,10,1,22,27
579,10,9,0,1,Graduate,1,1,1,5,1,22,27
580,1,2,0,0,Dropout,1,1,12,3,1,19,5
581,6,6,0,1,Graduate,1,1,8,12,1,10,1
