ID,mother_occupation,father_occupation,gender,Daytime_evening_attendance,Target
173,5,7,0,0,Graduate
174,10,9,0,1,Dropout
176,10,6,0,1,Graduate
177,12,12,0,1,Dropout
178,10,6,0,1,Dropout
179,10,6,0,1,Dropout
180,4,4,0,1,Graduate
182,4,5,0,1,Dropout
183,6,6,0,1,Dropout
184,5,7,0,1,Dropout
185,6,8,0,1,Dropout
187,10,5,0,1,Graduate
188,10,10,0,1,Dropout
189,5,2,0,1,Graduate
190,10,9,0,1,Graduate
192,5,4,0,1,Dropout
193,5,11,0,1,Dropout
194,10,9,0,1,Graduate
195,4,5,0,0,Dropout
196,6,6,0,1,Graduate
197,3,3,0,1,Dropout
198,4,9,0,1,Graduate
200,5,8,0,1,Graduate
201,5,1,0,1,Graduate
202,8,8,0,1,Graduate
203,6,11,0,1,Graduate
204,10,9,0,1,Graduate
205,1,1,0,1,Graduate
206,10,10,0,1,Graduate
207,2,5,0,1,Graduate
208,9,8,0,1,Graduate
209,3,4,0,1,Dropout
210,8,5,0,1,Graduate
211,10,10,0,1,Graduate
212,10,3,0,1,Graduate
213,10,10,0,0,Dropout
214,5,6,0,1,Graduate
216,6,6,0,1,Graduate
217,9,8,0,0,Dropout
218,6,5,0,0,Dropout
219,2,4,0,1,Dropout
220,8,8,0,1,Graduate
221,6,8,0,1,Graduate
222,4,4,0,1,Dropout
223,6,10,0,1,Graduate
224,5,6,0,1,Graduate
225,4,4,0,0,Graduate
226,4,11,0,1,Graduate
227,10,10,0,1,Graduate
228,1,1,0,1,Dropout
229,6,9,0,1,Graduate
230,5,6,0,1,Graduate
231,5,7,0,1,Dropout
232,5,4,0,1,Graduate
233,10,10,0,1,Graduate
234,10,11,0,1,Dropout
235,10,10,0,1,Graduate
236,6,8,0,1,Graduate
237,4,10,0,1,Graduate
238,10,10,0,1,Dropout
239,10,8,0,1,Dropout
242,6,6,0,1,Graduate
243,10,2,0,1,Dropout
244,10,11,0,1,Graduate
245,6,4,0,1,Graduate
246,8,7,0,1,Graduate
247,10,11,0,1,Dropout
248,5,8,0,1,Graduate
249,10,9,0,1,Graduate
251,8,8,0,1,Dropout
252,12,7,0,1,Graduate
254,5,5,0,1,Graduate
255,8,8,0,1,Dropout
256,7,7,0,0,Graduate
258,10,9,0,1,Graduate
259,4,2,0,1,Dropout
260,10,8,0,1,Graduate
261,13,13,0,0,Dropout
262,10,10,0,1,Dropout
263,5,5,0,1,Graduate
264,10,6,0,1,Graduate
265,2,4,0,1,Graduate
266,3,4,0,1,Graduate
267,10,10,0,1,Graduate
268,10,10,0,1,Graduate
269,10,10,0,1,Graduate
270,5,9,0,1,Graduate
271,10,10,0,1,Dropout
272,5,9,0,1,Graduate
273,3,6,0,1,Graduate
274,5,6,0,1,Graduate
275,5,11,0,1,Graduate
276,4,4,0,1,Dropout
277,3,1,0,1,Dropout
279,6,6,0,1,Graduate
280,10,10,0,1,Graduate
281,5,11,0,0,Graduate
282,9,5,0,0,Graduate
283,8,6,0,1,Graduate
284,1,1,0,0,Graduate
285,5,5,0,1,Graduate
287,12,3,0,0,Graduate
288,4,5,0,0,Graduate
289,2,2,0,1,Graduate
290,5,11,0,1,Graduate
291,7,7,0,1,Graduate
293,29,29,0,1,Graduate
294,4,7,0,1,Dropout
295,3,5,0,1,Graduate
296,10,9,0,1,Graduate
297,4,4,0,1,Graduate
298,5,11,0,1,Graduate
299,6,8,0,1,Graduate
300,10,8,0,1,Graduate
301,10,10,0,1,Graduate
302,5,10,0,1,Graduate
303,6,6,0,1,Dropout
304,5,4,0,1,Dropout
306,6,6,0,1,Graduate
307,12,12,0,1,Dropout
308,12,12,0,1,Graduate
309,8,9,0,1,Dropout
310,3,2,0,1,Graduate
311,1,1,0,1,Dropout
312,5,9,0,1,Graduate
313,6,8,0,1,Graduate
314,5,5,0,1,Dropout
315,5,4,0,1,Graduate
316,4,7,0,1,Graduate
317,4,6,0,1,Graduate
318,6,10,0,1,Graduate
320,10,6,0,1,Dropout
321,8,10,0,1,Graduate
322,6,2,0,1,Graduate
323,10,10,0,1,Graduate
325,6,9,0,1,Graduate
326,10,10,0,1,Graduate
327,10,7,0,1,Graduate
331,5,8,0,1,Dropout
332,8,8,0,1,Graduate
333,10,11,0,0,Graduate
334,5,10,0,1,Graduate
335,8,8,0,1,Graduate
336,3,2,0,1,Graduate
337,8,8,0,1,Graduate
338,10,11,0,1,Graduate
339,4,6,0,1,Graduate
341,3,3,0,1,Dropout
342,10,10,0,0,Graduate
343,2,3,0,1,Graduate
345,8,6,0,1,Graduate
347,7,7,0,0,Graduate
348,10,10,0,1,Graduate
350,10,10,0,1,Dropout
351,10,9,0,1,Graduate
352,10,6,0,1,Dropout
353,10,8,0,1,Graduate
354,5,7,0,1,Dropout
355,5,6,0,1,Graduate
356,10,10,0,1,Graduate
357,12,9,0,0,Dropout
359,3,4,0,1,Dropout
360,5,2,0,1,Graduate
361,10,8,0,1,Dropout
363,10,9,0,1,Graduate
365,8,6,0,1,Graduate
366,5,9,0,1,Graduate
368,29,46,0,1,Graduate
369,10,6,0,1,Dropout
370,10,5,0,0,Graduate
372,5,8,0,1,Graduate
373,20,43,0,0,Graduate
374,5,8,0,1,Dropout
376,10,10,0,1,Dropout
377,5,5,0,1,Graduate
380,6,8,0,1,Dropout
383,6,6,0,1,Graduate
384,3,2,0,1,Graduate
385,1,1,0,1,Graduate
386,10,10,0,1,Graduate
387,10,10,0,0,Graduate
389,8,8,0,0,Graduate
392,8,8,0,1,Dropout
393,10,11,0,1,Dropout
394,5,4,0,1,Graduate
395,5,10,0,1,Graduate
396,4,11,0,1,Graduate
397,5,7,0,1,Graduate
398,6,9,0,1,Dropout
399,7,5,0,1,Dropout
404,6,6,0,1,Graduate
405,4,10,0,1,Graduate
406,4,10,0,1,Graduate
407,10,10,0,0,Graduate
408,5,5,0,1,Graduate
409,1,1,0,1,Dropout
410,8,8,0,1,Graduate
411,5,9,0,1,Graduate
412,5,11,0,1,Graduate
413,7,7,0,0,Graduate
414,10,8,0,1,Graduate
415,12,12,0,1,Graduate
416,10,10,0,1,Graduate
417,10,10,0,1,Dropout
418,10,10,0,1,Graduate
419,5,6,0,1,Dropout
420,3,9,0,1,Graduate
421,5,4,0,0,Graduate
422,5,7,0,1,Dropout
423,4,4,0,1,Graduate
424,6,4,0,1,Graduate
425,10,4,0,1,Graduate
426,4,8,0,1,Graduate
428,5,5,0,1,Dropout
429,5,11,0,1,Graduate
430,10,10,0,1,Graduate
431,8,9,0,0,Graduate
432,7,9,0,1,Graduate
433,12,4,0,1,Dropout
434,5,9,0,1,Graduate
435,6,6,0,1,Graduate
437,5,6,0,1,Graduate
438,3,5,0,1,Dropout
439,10,10,0,1,Graduate
442,10,4,0,1,Graduate
443,8,9,0,1,Graduate
444,2,2,0,1,Graduate
445,10,4,0,1,Graduate
446,3,2,0,1,Graduate
447,8,8,0,1,Dropout
448,10,8,0,1,Graduate
450,6,6,0,1,Graduate
451,10,9,0,1,Graduate
452,8,6,0,1,Graduate
453,5,8,0,1,Graduate
455,13,13,0,0,Graduate
456,6,7,0,1,Dropout
457,10,9,0,1,Dropout
458,5,10,0,1,Graduate
459,6,8,0,1,Graduate
460,4,3,0,1,Graduate
461,6,8,0,1,Graduate
462,3,4,0,1,Graduate
463,4,6,0,1,Graduate
465,3,4,0,0,Dropout
467,1,1,0,1,Graduate
468,5,9,0,1,Graduate
469,5,10,0,1,Graduate
470,10,10,0,1,Graduate
471,10,8,0,1,Graduate
472,8,11,0,1,Dropout
473,10,10,0,1,Graduate
474,1,1,0,1,Dropout
475,4,6,0,1,Graduate
476,10,10,0,1,Dropout
477,1,1,0,1,Dropout
478,4,4,0,1,Graduate
480,5,5,0,1,Graduate
481,2,2,0,1,Graduate
482,3,6,0,1,Dropout
484,10,6,0,1,Graduate
485,8,10,0,1,Graduate
486,5,4,0,1,Dropout
487,6,5,0,1,Dropout
488,10,8,0,1,Graduate
489,6,6,0,1,Graduate
490,4,9,0,1,Graduate
491,6,6,0,1,Graduate
492,4,3,0,1,Graduate
495,12,6,0,1,Dropout
496,10,10,0,1,Dropout
497,5,4,0,1,Graduate
498,10,8,0,1,Graduate
499,8,8,0,1,Graduate
501,10,10,0,1,Graduate
503,2,2,0,1,Dropout
504,8,8,0,1,Graduate
507,10,4,0,1,Graduate
508,3,3,0,1,Dropout
509,5,7,0,1,Dropout
511,13,13,0,0,Dropout
512,1,1,0,1,Graduate
513,10,3,0,0,Dropout
514,10,11,0,0,Dropout
515,10,11,0,1,Dropout
516,10,5,0,1,Graduate
517,10,5,0,1,Dropout
518,1,1,0,0,Dropout
519,10,10,0,1,Dropout
520,6,6,0,1,Graduate
521,3,10,0,1,Graduate
522,3,9,0,1,Graduate
523,10,10,0,1,Graduate
524,2,2,0,1,Dropout
525,10,4,1,1,Dropout
527,3,11,1,1,Graduate
528,10,10,1,1,Dropout
529,3,3,1,1,Dropout
531,10,9,1,1,Dropout
532,3,4,1,1,Graduate
533,5,8,1,1,Dropout
534,3,3,1,1,Graduate
535,5,5,1,0,Graduate
536,5,5,1,1,Dropout
537,5,5,1,1,Graduate
538,4,10,1,1,Graduate
539,10,10,1,1,Dropout
540,6,6,1,1,Graduate
542,5,11,1,1,Graduate
543,6,4,1,1,Graduate
549,10,8,1,1,Graduate
550,5,6,1,1,Dropout
551,8,10,1,1,Dropout
552,2,11,1,1,Dropout
553,4,3,1,1,Dropout
554,5,5,1,1,Dropout
555,3,3,1,1,Dropout
557,10,10,1,1,Graduate
559,10,11,1,1,Graduate
560,20,30,1,1,Graduate
562,5,11,1,0,Dropout
563,10,10,1,1,Graduate
564,10,10,1,1,Graduate
565,4,10,1,1,Graduate
566,3,5,1,1,Dropout
567,1,6,1,1,Dropout
568,9,9,1,1,Graduate
569,3,3,1,1,Graduate
570,10,10,1,0,Graduate
571,10,10,1,1,Dropout
572,6,11,1,1,Dropout
574,10,11,1,1,Graduate
575,5,5,1,1,Dropout
576,10,10,1,1,Graduate
578,6,6,0,1,Graduate
579,10,9,0,1,Graduate
580,1,2,0,0,Dropout
581,6,6,0,1,Graduate
583,10,9,0,1,Graduate
584,8,8,0,1,Graduate
585,4,4,0,1,Graduate
586,12,12,0,1,Graduate
587,10,9,0,1,Graduate
588,10,4,0,1,Graduate
589,6,5,0,1,Graduate
590,10,4,0,1,Graduate
592,10,5,0,1,Graduate
595,10,10,0,0,Dropout
596,8,1,0,1,Dropout
597,10,11,0,1,Dropout
598,8,5,0,1,Graduate
599,10,10,0,1,Graduate
600,10,10,0,1,Dropout
601,6,8,0,1,Dropout
602,10,5,0,1,Graduate
603,5,5,0,0,Graduate
604,4,9,0,1,Graduate
605,7,7,0,1,Dropout
606,4,3,0,1,Dropout
607,8,8,0,1,Graduate
608,32,44,0,1,Dropout
610,29,41,0,1,Graduate
611,5,8,0,0,Graduate
612,2,2,0,1,Graduate
614,10,10,0,1,Graduate
615,10,10,0,1,Graduate
616,8,9,0,1,Graduate
617,10,9,0,1,Graduate
618,5,8,0,1,Graduate
620,5,6,0,1,Graduate
621,5,4,0,1,Dropout
622,10,8,0,1,Dropout
623,8,6,0,1,Graduate
624,10,10,0,1,Dropout
625,10,9,0,1,Dropout
626,7,7,0,0,Graduate
627,10,8,0,1,Graduate
628,6,7,0,1,Graduate
629,10,10,0,1,Graduate
630,10,10,0,1,Graduate
632,6,8,0,1,Graduate
633,29,44,0,1,Graduate
634,10,8,0,1,Graduate
635,8,6,0,1,Graduate
636,10,10,0,1,Graduate
638,5,6,0,1,Graduate
639,4,4,0,1,Dropout
640,10,1,0,1,Dropout
644,8,8,0,1,Dropout
647,10,8,0,0,Graduate
648,5,4,0,1,Graduate
649,6,2,0,1,Graduate
650,6,1,0,1,Graduate
652,5,4,0,1,Graduate
653,7,10,0,1,Graduate
654,4,6,0,1,Graduate
657,6,8,0,0,Graduate
658,6,11,0,1,Graduate
659,10,10,0,1,Dropout
660,5,3,0,1,Graduate
662,5,2,0,1,Graduate
663,1,1,0,1,Graduate
664,10,8,1,1,Graduate
665,7,7,0,1,Graduate
666,6,6,0,1,Dropout
667,6,8,0,1,Graduate
668,5,9,0,1,Dropout
669,6,8,0,1,Graduate
670,10,10,0,1,Graduate
671,12,8,0,0,Dropout
672,10,8,0,1,Graduate
673,4,4,0,1,Graduate
674,6,9,0,1,Graduate
675,10,10,0,1,Dropout
676,6,8,0,1,Graduate
678,1,1,1,1,Dropout
679,3,6,0,1,Graduate
680,10,10,0,1,Graduate
681,5,7,0,1,Graduate
682,5,6,0,1,Dropout
683,10,11,0,1,Dropout
684,10,10,1,1,Graduate
685,10,10,1,0,Graduate
686,2,10,1,1,Dropout
687,10,9,1,1,Graduate
688,10,3,1,0,Graduate
689,10,8,1,1,Dropout
690,10,5,1,1,Dropout
691,10,8,1,1,Graduate
693,10,9,1,1,Dropout
694,3,10,1,1,Graduate
695,6,6,1,1,Dropout
696,1,1,1,0,Graduate
698,10,2,1,1,Graduate
699,6,8,1,1,Dropout
701,10,4,1,1,Dropout
702,3,3,1,1,Dropout
703,10,10,1,0,Dropout
704,10,10,1,1,Graduate
705,10,10,1,0,Dropout
706,5,9,1,0,Graduate
707,10,7,1,1,Graduate
708,10,10,1,1,Graduate
709,10,8,1,0,Dropout
710,12,12,1,0,Dropout
711,10,9,1,1,Dropout
712,12,12,1,1,Graduate
713,3,3,1,1,Graduate
714,7,7,1,1,Graduate
715,5,11,1,0,Graduate
716,1,12,1,1,Dropout
717,4,10,1,1,Dropout
720,5,5,1,1,Dropout
722,10,6,1,1,Graduate
723,12,6,1,0,Dropout
724,12,11,1,1,Dropout
725,10,8,1,1,Graduate
726,4,4,1,1,Graduate
727,10,10,1,0,Dropout
728,5,8,1,1,Graduate
730,10,10,1,1,Dropout
731,5,7,1,1,Graduate
732,7,7,1,1,Graduate
733,5,8,1,1,Graduate
734,7,8,1,1,Dropout
735,5,11,1,1,Graduate
737,6,8,1,1,Dropout
739,9,9,1,1,Dropout
740,10,8,1,1,Dropout
741,3,3,1,1,Graduate
742,4,4,1,1,Dropout
743,5,9,1,0,Dropout
744,10,10,1,1,Graduate
745,5,6,1,1,Dropout
746,5,5,1,1,Dropout
747,10,7,1,1,Graduate
748,12,4,1,1,Dropout
749,6,4,0,1,Graduate
750,6,6,0,1,Graduate
751,10,10,0,1,Graduate
752,4,4,0,1,Graduate
753,8,10,0,0,Dropout
754,10,10,1,1,Graduate
755,5,6,1,1,Dropout
756,10,6,1,1,Dropout
757,10,5,1,0,Dropout
758,4,4,1,1,Graduate
759,10,10,0,1,Graduate
760,3,3,1,1,Graduate
762,10,10,1,0,Graduate
764,6,6,1,0,Graduate
767,5,2,0,0,Graduate
768,10,8,1,0,Graduate
769,6,6,1,1,Graduate
770,10,10,0,1,Graduate
771,6,6,0,1,Dropout
773,5,11,0,1,Graduate
775,5,8,0,1,Dropout
776,5,5,0,1,Graduate
777,5,3,0,1,Dropout
779,6,6,0,1,Graduate
780,8,8,0,1,Graduate
781,6,5,0,1,Dropout
782,4,9,0,1,Graduate
784,10,10,0,1,Graduate
785,2,2,0,1,Graduate
786,2,3,0,1,Graduate
787,5,6,0,1,Graduate
788,1,12,0,1,Dropout
789,6,5,0,1,Graduate
790,10,10,0,1,Graduate
791,3,3,1,1,Dropout
792,10,3,0,1,Graduate
793,3,6,0,1,Graduate
794,4,4,0,1,Graduate
795,6,9,0,1,Graduate
796,10,9,0,1,Graduate
797,5,9,0,1,Graduate
798,10,10,0,1,Graduate
801,10,9,0,1,Dropout
802,6,6,0,1,Graduate
803,10,10,0,1,Graduate
804,6,4,0,1,Graduate
806,4,6,0,1,Graduate
808,5,8,0,1,Dropout
810,10,5,0,1,Dropout
811,6,8,0,1,Graduate
812,10,10,0,1,Graduate
813,4,4,0,1,Graduate
814,5,5,0,1,Graduate
817,5,5,0,1,Graduate
819,10,12,0,0,Graduate
820,10,10,0,1,Graduate
821,10,4,0,1,Graduate
823,10,10,0,1,Graduate
824,10,10,0,1,Graduate
825,5,4,0,1,Graduate
826,6,8,0,1,Dropout
827,10,8,0,1,Graduate
828,5,6,0,1,Graduate
829,4,6,0,1,Dropout
830,4,4,0,1,Dropout
831,1,1,0,1,Dropout
833,10,7,1,1,Dropout
834,12,6,1,1,Dropout
836,4,5,1,1,Dropout
838,3,9,1,1,Dropout
839,4,11,1,1,Graduate
840,10,10,0,1,Dropout
842,4,1,1,1,Dropout
843,10,6,0,1,Graduate
844,10,10,0,1,Graduate
845,10,9,0,1,Dropout
846,32,23,0,0,Graduate
847,10,10,0,1,Graduate
849,5,5,0,1,Graduate
850,2,2,0,1,Graduate
852,10,10,0,1,Graduate
853,10,10,1,1,Graduate
855,5,2,1,1,Dropout
856,5,4,1,1,Dropout
857,10,11,1,1,Dropout
858,5,7,1,1,Dropout
859,1,4,1,1,Dropout
860,6,5,1,1,Dropout
861,10,10,1,1,Dropout
862,6,9,1,1,Dropout
863,10,9,1,1,Dropout
864,6,5,1,1,Dropout
865,5,11,1,1,Graduate
866,12,12,1,1,Dropout
867,4,8,1,1,Dropout
868,5,6,1,1,Graduate
869,10,8,1,1,Graduate
870,29,44,1,1,Graduate
871,1,1,1,1,Dropout
872,6,6,1,0,Graduate
874,32,45,1,1,Graduate
875,10,10,1,1,Graduate
876,10,10,1,1,Dropout
877,5,6,1,1,Dropout
878,8,11,1,1,Graduate
879,10,4,1,1,Dropout
880,10,9,1,1,Graduate
881,3,6,1,1,Graduate
882,10,7,1,1,Dropout
883,5,8,1,1,Dropout
884,5,10,0,1,Graduate
885,1,1,0,1,Graduate
886,1,1,0,1,Graduate
887,10,8,0,1,Graduate
888,5,8,0,1,Graduate
889,10,6,0,1,Graduate
890,10,10,0,1,Graduate
891,28,44,0,1,Dropout
892,10,10,0,1,Graduate
893,10,5,0,0,Dropout
894,5,8,0,1,Graduate
895,5,10,0,0,Dropout
896,6,6,0,1,Graduate
897,6,10,0,1,Graduate
899,8,8,0,1,Graduate
900,10,8,0,1,Dropout
901,6,6,0,1,Graduate
902,8,8,0,1,Graduate
903,10,5,0,1,Graduate
904,10,10,0,1,Dropout
905,6,6,0,1,Graduate
906,8,8,0,1,Dropout
907,8,7,0,1,Graduate
909,8,11,0,1,Dropout
910,10,6,0,1,Graduate
911,6,5,0,1,Graduate
912,10,10,0,0,Dropout
913,10,8,0,0,Graduate
914,10,7,0,1,Dropout
915,5,6,0,1,Graduate
916,12,12,0,0,Dropout
917,9,11,0,0,Dropout
918,10,5,0,1,Graduate
919,10,8,0,0,Graduate
920,10,4,0,0,Graduate
921,10,10,0,0,Graduate
922,5,3,0,1,Dropout
923,10,7,0,1,Dropout
925,10,8,0,1,Graduate
926,5,12,0,1,Dropout
929,1,1,0,1,Dropout
931,10,10,0,1,Graduate
932,8,8,0,1,Graduate
933,10,10,0,1,Dropout
935,4,4,0,1,Graduate
936,10,10,0,1,Dropout
939,12,8,0,0,Dropout
940,6,6,0,1,Graduate
941,10,5,0,1,Graduate
943,10,11,0,1,Dropout
944,10,8,0,1,Graduate
945,8,8,0,1,Graduate
946,4,4,1,1,Graduate
947,1,3,1,1,Dropout
948,1,1,1,1,Graduate
949,10,3,1,1,Dropout
950,10,10,1,0,Graduate
951,10,10,1,0,Dropout
952,5,9,1,1,Graduate
953,2,11,0,1,Dropout
954,3,10,1,1,Dropout
955,5,12,1,1,Dropout
956,10,10,1,1,Graduate
957,10,5,1,1,Graduate
958,6,6,1,1,Graduate
959,1,1,1,1,Dropout
960,1,1,1,1,Dropout
961,10,10,1,1,Graduate
962,3,5,1,1,Graduate
964,4,8,1,1,Graduate
965,3,9,1,1,Graduate
966,10,6,1,0,Dropout
967,10,11,1,1,Dropout
968,1,1,1,0,Dropout
970,1,1,1,1,Graduate
971,8,4,1,1,Dropout
972,8,8,1,1,Dropout
973,8,8,1,1,Graduate
974,10,4,1,0,Graduate
976,10,9,1,1,Graduate
977,30,29,1,1,Graduate
978,8,6,1,0,Dropout
979,10,7,1,1,Graduate
980,7,7,1,1,Dropout
982,5,6,1,1,Graduate
984,3,11,1,1,Dropout
985,4,4,1,1,Graduate
986,5,7,1,1,Graduate
987,6,1,1,1,Dropout
988,4,5,1,1,Dropout
989,10,2,1,1,Dropout
990,10,3,0,1,Graduate
991,3,3,0,1,Graduate
992,4,4,0,1,Dropout
993,5,10,0,1,Graduate
994,29,43,0,1,Graduate
995,10,9,0,0,Graduate
998,4,4,0,1,Graduate
999,1,1,0,1,Dropout
1000,6,6,0,1,Dropout
1001,10,10,0,1,Dropout
1002,3,6,0,1,Graduate
1003,8,8,0,1,Graduate
1004,4,5,0,1,Dropout
1005,6,6,0,1,Graduate
1006,10,7,0,1,Graduate
1007,10,11,0,1,Graduate
1008,6,6,0,1,Graduate
1009,4,4,0,1,Graduate
1010,10,11,0,1,Graduate
1011,5,4,0,1,Graduate
1012,5,6,0,1,Graduate
1013,5,6,0,1,Dropout
1014,29,28,0,1,Graduate
1015,10,9,0,1,Graduate
1016,10,10,0,1,Dropout
1017,4,6,0,1,Graduate
1018,10,13,0,1,Dropout
1019,5,10,0,1,Graduate
1020,5,8,0,1,Graduate
1021,5,10,0,1,Graduate
1022,3,3,0,1,Graduate
1023,10,10,0,1,Graduate
1024,29,36,0,1,Graduate
1025,5,12,0,1,Dropout
1026,5,12,0,1,Graduate
1027,10,10,0,1,Graduate
1028,10,5,0,1,Graduate
1029,10,10,0,1,Graduate
1030,5,4,0,1,Graduate
1032,9,9,0,1,Graduate
1033,10,10,0,1,Graduate
1034,8,8,0,1,Dropout
1036,10,8,0,1,Dropout
1037,5,3,0,1,Graduate
1038,5,10,0,1,Graduate
1040,5,6,0,1,Graduate
1041,10,8,0,1,Graduate
1042,10,7,0,1,Graduate
1043,10,10,0,1,Graduate
1044,5,8,0,1,Graduate
1045,5,10,0,0,Dropout
1046,3,11,0,1,Dropout
1047,5,5,0,1,Graduate
1048,10,7,0,1,Graduate
1049,6,6,0,1,Graduate
1050,5,9,0,1,Graduate
1051,5,8,0,1,Graduate
1052,5,6,0,1,Dropout
1053,3,3,0,1,Graduate
1054,10,8,0,1,Graduate
1055,6,8,0,1,Graduate
1056,5,5,0,1,Dropout
1057,2,8,0,1,Graduate
1058,2,6,0,1,Dropout
1059,5,11,0,1,Graduate
1060,6,6,0,1,Dropout
1061,8,8,0,1,Dropout
1062,10,11,0,0,Graduate
1063,5,5,0,1,Graduate
1065,6,11,0,0,Dropout
1066,6,7,0,1,Graduate
1067,4,4,0,1,Graduate
1068,10,9,0,1,Graduate
1069,10,10,0,1,Graduate
1070,5,5,0,1,Graduate
1071,9,9,0,1,Graduate
1073,2,12,0,1,Graduate
1074,10,6,0,1,Graduate
1075,5,8,0,1,Graduate
1076,10,10,0,1,Dropout
1077,6,10,0,1,Dropout
1078,3,4,0,1,Dropout
1079,5,10,0,1,Graduate
1080,5,1,0,1,Graduate
1081,10,10,0,1,Graduate
1083,10,5,0,1,Graduate
1084,10,4,0,1,Graduate
1085,3,2,0,1,Dropout
1086,10,6,0,1,Graduate
1087,18,16,0,1,Graduate
1090,5,6,0,1,Graduate
1091,6,9,0,1,Dropout
1092,1,8,0,1,Graduate
1093,5,5,0,1,Dropout
1094,10,10,0,1,Graduate
1095,10,10,0,1,Dropout
1096,6,9,0,1,Dropout
1097,10,10,0,1,Graduate
1098,6,4,0,1,Graduate
1099,2,10,0,1,Graduate
1100,10,10,0,1,Dropout
1101,10,10,0,1,Dropout
1104,1,6,0,1,Graduate
1105,10,10,0,1,Dropout
1106,1,1,0,1,Dropout
